id,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_MODELYR,GV_OTVEHWGT,GV_SPLIMIT,GV_WGTCDTR,OA_AGE,OA_BAGDEPLY,OA_HEIGHT,OA_MAIS,OA_SEX,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT
2646,1280,6,20,122,5,2008,1260,60,Passenger Car,18,Not Deployed,160,0,Female,56,151,270,315,4.077
2647,1130,-12,-4,176,5,2008,1040,60,Passenger Car,24,Not Deployed,152,0,Female,48,143,245,205,3.5035
2648,1480,3,34,389,4,2003,1840,30,Passenger Car,28,Not Deployed,157,0,Female,50,153,270,265,4.131
2649,2590,0,-10,148,3,2007,1760,45,Truck (<=10000 lbs.),58,Deployed,188,0,Male,95,171,330,135,5.643
2650,1760,-3,15,147,3,2001,2590,45,Truck (<=6000 lbs.),45,Not Deployed,188,1,Male,91,151,269,305,4.0619
2651,1260,0,-29,214,4,2006,2230,60,Passenger Car,24,Deployed,157,1,Female,52,151,265,135,4.0015
2652,1050,8,-17,1669,3,2002,1870,35,Passenger Car,29,Not Deployed,163,3,Male,79,143,244,195,3.4892
2653,1810,13,-11,358,6,2004,1310,40,Passenger Car,35,Deployed,170,1,Male,100,156,293,85,4.5708
2654,1420,0,-54,1605,3,2007,1480,45,Passenger Car,26,Deployed,185,3,Male,70,154,267,135,4.1118
2655,1690,-18,-49,1425,3,2008,1370,40,Passenger Car,27,Deployed,178,1,Male,100,160,305,135,4.88
2656,1810,-26,5,620,2,2008,2270,40,Passenger Car,52,Not Deployed,170,1,Male,96,148,294,235,4.3512
2657,1220,25,-4,315,4,2007,1890,35,Passenger Car,24,Not Deployed,157,1,Female,73,151,265,55,4.0015
2658,1810,-9,-43,989,5,2005,1560,60,Truck (<=6000 lbs.),59,Deployed,183,2,Male,113,160,305,135,4.88
2659,1600,0,-10,717,5,2002,1750,60,Passenger Car,58,Not Deployed,180,0,Male,88,152,275,145,4.18
2660,2020,0,-38,1669,4,2006,1200,60,Truck (<=10000 lbs.),23,Deployed,157,1,Male,73,168,338,135,5.6784
2661,1200,0,62,1704,4,2006,2020,60,Passenger Car,51,Not Deployed,157,5,Male,52,147,253,315,3.7191
2662,1520,0,0,449,1,2001,1340,60,Passenger Car,36,Not Deployed,170,4,Female,98,157,276,315,4.3332
2663,1490,-9,-25,183,4,2006,820,35,Passenger Car,51,Deployed,165,1,Female,66,155,274,155,4.247
2664,1340,-7,-5,345,3,2008,2420,35,Passenger Car,44,Not Deployed,168,0,Male,136,152,268,205,4.0736
2665,1540,0,-6,99,3,2008,1330,35,Passenger Car,47,Deployed,165,0,Female,65,157,278,165,4.3646
2666,1830,-13,-15,426,5,2001,1310,60,Truck (<=10000 lbs.),29,Not Deployed,160,0,Male,66,182,302,5,5.4964
2667,1880,-14,14,220,4,2004,2030,65,Truck (<=6000 lbs.),26,Deployed,157,0,Female,61,155,279,135,4.3245
2668,2420,0,-24,481,3,2007,1160,60,Truck (<=10000 lbs.),48,Deployed,183,0,Male,127,173,295,135,5.1035
2669,2630,0,-24,202,3,2008,1430,65,Truck (<=10000 lbs.),41,Deployed,183,0,Male,91,162,288,135,4.6656
2670,1430,-7,38,1632,3,2002,2630,65,Truck (<=6000 lbs.),23,Not Deployed,168,1,Female,50,148,262,305,3.8776
2671,1750,8,-22,616,4,2003,2120,35,Passenger Car,39,Not Deployed,170,1,Female,68,151,280,115,4.228
2672,2410,13,-71,5147,3,2003,1780,60,Truck (<=10000 lbs.),43,Deployed,178,2,Male,95,177,357,125,6.3189
2673,1430,0,-38,632,4,2007,1840,60,Passenger Car,61,Deployed,168,3,Female,66,155,274,135,4.247
2674,1850,-25,-10,77,1,2008,1980,35,Passenger Car,58,Not Deployed,165,1,Female,113,164,291,205,4.7724
2675,1830,6,-16,109,3,2008,1490,40,Passenger Car,38,Deployed,173,1,Male,91,160,305,115,4.88
